Disease,Symptoms,Precaution,,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,panic_symptoms_during_sepration,"Teach relaxation strategies (deep breathing, squeezing a stress ball).",,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,clingy_behavior_and_need_for_constant_reassurance,"Gradually build confidence with timed, positive reinforcement.",,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,inability_to_recall_important_personal_information,Use memory aids like notebooks or digital reminders for important details.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,memory_loss_typically_related_to_trauma,Practice grounding techniques and seek trauma-informed therapy.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,sudden_onset_of_amnesia,"Ensure a safe, calm space and contact a medical professional promptly.",,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,gaps_in_memory_for_long_periods_of_time,Track memory patterns and note triggers in a journal.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,wandering,Ensure supervised environments and carry ID/contact information.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,loss_of_identity,Use personal identity documents and keep a structured routine.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,emotional_numbness,"Engage in sensory activities (touch, smell, sound) to reconnect emotionally.",,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,trouble_remembering_daily_tasks,"Maintain a visible, consistent schedule with visual reminders.",,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,anxiety_related_to_memory_loss,Practice calming routines and use support systems during episodes.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Amnesia,confusion,Break tasks into steps and repeat instructions when needed.,,,,,,,,,,,,,,,,,,,,,,,,,
